"","name","reviews","address","lat","long","counter","jan_frac"
"1","Waldorf Astoria New York",785,"301 Park Ave New York, NY 10022",40.756555,-73.974438,49328,0.0159138825819007
"2","YOTEL New York",738,"570 Tenth Ave New York, NY 10036",40.759429,-73.995611,33475,0.0220463032113518
"3","Ace Hotel New York",603,"20 W 29th St New York, NY 10001",40.745787,-73.987875,46892,0.0128593363473514
"4","The Jane",555,"113 Jane St New York, NY 10014",40.738069,-74.008309,11796,0.0470498474059003
"5","Gansevoort Meatpacking NYC",453,"18 9th Ave New York, NY 10014",40.740154,-74.005952,14597,0.0310337740631637
"6","The Standard, High Line",414,"848 Washington Street New York, NY 10014",40.74086,-74.007553,12285,0.0336996336996337
"7","The Westin New York at Times Square",388,"270 W 43rd St New York, NY 10036",40.757499,-73.988031,52033,0.00745680625756731
"8","The POD 51 Hotel",380,"230 E 51st St New York, NY 10022",40.756097,-73.969828,38035,0.00999079794925726
"9","Le Parker MÌ©ridien New York",366,"119 W 56th St New York, NY 10019",40.763931,-73.978044,46305,0.00790411402656301
"10","Kimpton Ink48 Hotel",368,"653 11th Ave New York, NY 10036",40.764349,-73.995894,26967,0.0136463084510698
"11","Casablanca hotel by library hotel collection",50274,"147 West 43rd Street, New York City, NY 10036-6575",40.7564,-73.9856,56769,0.885588965808804
